title,volume,year,received_date,accepted_date,review_days,published_online_date,doi
Contribution of herbaceous energy crops in maintaining runoff and reducing soil loss on the loess slopes under natural rainfall in the semi-arid area,263,2026,,,,,10.1016/j.catena.2025.109737
Prescribed burning of scrubland only affects very sensitive topsoil properties: A decadal-scale study in encroached grasslands of the southern Pyrenees,263,2026,,,,,10.1016/j.catena.2025.109728
Terrace abandonment enhances rather than diminishes hydrological functioning in karst terraces by reshaping soil pore structure,263,2026,,,,,10.1016/j.catena.2025.109749
Lithology-driven soil properties influence latitudinal variations of species composition in Southwestern China,263,2026,,,,,10.1016/j.catena.2025.109703
The sources and export mechanisms of dissolved organic carbon in pore water of a mangrove swamp revealed by dual carbon isotopes,263,2026,,,,,10.1016/j.catena.2025.109691
Microbial functional shifts drive soil phosphorus transformation under long-term nitrogen and water inputs in a semi-arid grassland,263,2026,,,,,10.1016/j.catena.2025.109757
"Quantifying glacier and snow shrinkage: future water stress in Northern Tien Shan, Central Asia",263,2026,,,,,10.1016/j.catena.2025.109734
Size – specific effects of intra-aggregate pore size distribution on soil aggregate stability,263,2026,,,,,10.1016/j.catena.2025.109706
Response of SOC stocks in Northeast China to climate warming and precipitation changes,263,2026,,,,,10.1016/j.catena.2025.109682
Hydrological inundation legacy and seasonal variation jointly regulate soil respiration by shaping microbial community assembly in reservoir riparian zones,263,2026,,,,,10.1016/j.catena.2025.109709
